ID_V2.1D ID_V4.1 RA DEC
12870 36257 214.718475 52.798725
13032 36492 214.717133 52.799332
12793 36104 214.725647 52.802547
12528 34966 214.736496 52.806324
12046 33808 214.737595 52.801903
11578 32354 214.74292 52.799957
11491 31562 214.74472 52.799366
11299 31044 214.750214 52.80117
10503 28799 214.756241 52.795929
9995 27585 214.760834 52.79409
10002 27274 214.799622 52.821114
9501 26028 214.804779 52.81995
9296 25520 214.806686 52.819244
7761 21675 214.788116 52.790703
8430 23501 214.819656 52.820381
6136 18891 214.788559 52.775913
6084 17437 214.797073 52.779499
5889 16690 214.806641 52.783836
5984 16730 214.805954 52.783997
5814 16390 214.822281 52.79385
5682 17380 214.821442 52.794327
5761 16121 214.823135 52.79364
5215 14957 214.831543 52.79443
4699 13567 214.83902 52.794365
4530 12918 214.843536 52.795128
4157 11906 214.844681 52.791843
4058 11986 214.854614 52.798565
3590 10471 214.853439 52.792278
3393 10494 214.864258 52.798786
2838 8540 214.866974 52.79324
2450 8061 214.87294 52.794353
1945 6377 214.880341 52.793247
905 3668 214.870163 52.773506
1361 4711 214.89566 52.797283
1446 1538 150.156509 2.19559
3284 3324 150.148407 2.213134
936 1014 150.149673 2.191054
987 1065 150.150848 2.19133
4295 4205 150.139938 2.220212
4677 4557 150.136398 2.225273
1090 1163 150.139297 2.191411
3106 3146 150.132584 2.212095
2335 2672 150.129471 2.207198
5791 5640 150.121109 2.235426
4359 4292 150.120377 2.221267
3117 3185 150.118286 2.210943
1069 1148 150.11557 2.191421
4837 4717 150.10498 2.226233
3623 3626 150.104736 2.215731
5048 4915 150.099625 2.228111
5070 4945 150.099289 2.228042
479 541 150.104385 2.185241
415 487 150.10376 2.185076
2832 2887 150.096954 2.20917
4019 3974 150.092514 2.218426
4555 4446 150.085724 2.223177
418 471 150.088898 2.184963
478 532 150.090637 2.185152
3907 3895 150.079437 2.217153
3692 3666 150.07753 2.216033
73 132 150.083084 2.177869
4611 4497 150.071472 2.223873
2813 2872 150.072418 2.208554
4146 4078 150.06781 2.219435
896 964 150.071609 2.189901
144 208 150.070511 2.180035
171 234 150.071594 2.180136
127 182 150.068787 2.17985
2499 2575 150.061646 2.205388
1681 1740 150.059006 2.197674
1618 1683 150.061142 2.198037
1713 1795 150.057693 2.197425
1679 1769 150.054886 2.198201
10506 10085 150.149536 2.28308
10587 10162 150.148148 2.283239
10668 10232 150.14595 2.283675
10701 10280 150.142288 2.284227
13785 13364 150.138718 2.315308
12574 12057 150.133636 2.30281
12663 12149 150.133118 2.302727
10649 10235 150.128922 2.284115
11243 10783 150.124512 2.289501
10730 10056 150.121368 2.28514
12015 11530 150.119324 2.296854
11612 11137 150.116959 2.293286
13899 13296 150.115097 2.315291
13881 13278 150.115433 2.315231
13985 13701 150.112717 2.319439
13904 13299 150.110306 2.314754
15547 14849 150.10582 2.332544
15673 14968 150.105438 2.332631
13577 12995 150.099686 2.311813
11075 10626 150.095154 2.287788
11055 10613 150.096603 2.287817
11063 10617 150.096008 2.287714
11114 10657 150.095276 2.287907
12081 11597 150.0905 2.297322
11868 11386 150.089111 2.297185
11223 10769 150.084396 2.29049
12226 11723 150.080902 2.298448
12251 11750 150.080551 2.298632
11982 11494 150.073929 2.297983
11171 10719 150.070587 2.28919
11219 10766 150.070892 2.289322
12100 11615 150.068375 2.298372
15286 14596 150.06456 2.329035
10567 10143 150.06163 2.283141
10224 9572 150.060944 2.283665
12104 -9999 150.052429 2.297379
12058 -9999 150.051422 2.297293
2245 2360 150.154388 2.202712
2244 2344 150.153809 2.20257
6282 6095 150.141037 2.239592
6144 5964 150.143173 2.239779
5242 5094 150.140366 2.230186
5252 5107 150.138336 2.230009
4196 4113 150.138 2.220183
959 1045 150.140335 2.190446
3106 3146 150.132584 2.212095
6029 5863 150.123138 2.237553
5053 4930 150.120987 2.228795
3046 3112 150.122498 2.21034
2711 2795 150.120941 2.207236
3121 3226 150.115921 2.21167
1147 1237 150.116653 2.192247
3795 3781 150.103851 2.216188
995 1067 150.105545 2.190542
3710 3706 150.095886 2.216309
1823 1908 150.097336 2.198868
3819 3801 150.088608 2.216259
3675 3949 150.084366 2.218577
5001 4874 150.080063 2.227491
448 484 150.086823 2.185088
4081 3997 150.07782 2.218539
4065 4001 150.07724 2.218594
3156 3182 150.076004 2.211829
670 709 150.077576 2.187707
1529 1607 150.073044 2.196026
1299 1382 150.069748 2.19376
4163 4087 150.059082 2.219008
2665 2786 150.059586 2.207296
405 462 150.060699 2.184177
2357 2465 150.053497 2.204463
9520 21517 189.368612 62.247887
9506 21814 189.37322 62.249738
9239 20924 189.367139 62.244453
9064 20513 189.36594 62.243641
7916 17690 189.390661 62.229181
7428 16429 189.386333 62.222978
6544 14453 189.395099 62.213037
6246 13637 189.388638 62.209409
7189 15771 189.356333 62.219988
6015 13128 189.367045 62.207114
5589 12345 189.362813 62.203018
5398 11835 189.356541 62.200491
5889 13088 189.33356 62.20635
4739 10645 189.348909 62.19494
6287 13958 189.310978 62.2106
5489 12157 189.321486 62.201918
5878 12980 189.306826 62.20612
4741 10596 189.321327 62.194459
4941 10835 189.304981 62.195989
4825 10755 189.303539 62.195544
6459 14283 189.260841 62.212227
4239 9271 189.296643 62.18854
3384 7276 189.305799 62.179056
3449 7652 189.293373 62.180406
4047 9122 189.273563 62.187153
2959 6376 189.27836 62.173118
